Date,Name,Time,Venue Name,Type,City,ID,url,PostalCode,Latitude,Longitude,Created At
28/02/2026,Swiftogeddon - The Taylor Themed Club Night - Preston (Early Show),20:00:00,53 Degrees,Music,Preston,LvZ18Q8tkn_EAtZZlMLCj,https://www.universe.com/events/swiftogeddon-the-taylor-themed-club-night-preston-early-show-tickets-KLVS7P?ref=ticketmaster,PR1 2BQ,53.7613383,-2.7073841,07:31.0
19/03/2026,Jason Fox: Embrace The Chaos,19:30:00,Lowther Pavilion,Miscellaneous,Lytham St Annes,G5vHZbRD4n34E,https://www.ticketmaster.co.uk/jason-fox-embrace-the-chaos-lytham-st-annes-19-03-2026/event/1F0062FED5A92567,FY8 5QQ,53.735487,-2.971624,07:31.4
03/04/2026,Daniel O'Reilly: Let's Have It,20:00:00,Lowther Pavilion,Arts & Theatre,Lytham St Annes,G5vHZbRhNc-GA,https://www.ticketmaster.co.uk/daniel-oreilly-lets-have-it-lytham-st-annes-03-04-2026/event/1F0062F6E3B61305,FY8 5QQ,53.735487,-2.971624,07:31.4
08/04/2026,Imagine Lennon,19:30:00,Lowther Pavilion,Music,Lytham St Annes,G5vHZbShiOzom,https://www.ticketmaster.co.uk/imagine-lennon-lytham-st-annes-08-04-2026/event/1F006336EC83846E,FY8 5QQ,53.735487,-2.971624,07:31.4
13/04/2026,The Guest List,19:00:00,The Ferret,Music,Preston ,G5vHZbMEHSBc1,https://www.ticketmaster.co.uk/the-guest-list-preston-13-04-2026/event/1F006379FCCFAB4A,PR1 2XQ,53.76385354,-2.70988429,07:31.8
23/05/2026,From the Jam,19:30:00,53 Degrees,Music,Preston,G5vHZbVECNEcO,https://www.ticketmaster.co.uk/from-the-jam-preston-23-05-2026/event/1F006349CE8E7B60,PR1 2BQ,53.7613383,-2.7073841,07:32.3
29/05/2026,Clinton Baptiste: Spectral Intercourse,19:30:00,Stage City Preston,Arts & Theatre,Preston,G5vHZbEEiGkEN,https://www.ticketmaster.co.uk/clinton-baptiste-spectral-intercourse-preston-29-05-2026/event/1F006279EC3069E3,PR11DJ,53.76127203,-2.697073,07:32.3
02/06/2026,Rebecca Ferguson: 15 Years Stripped,19:30:00,Lowther Pavilion,Music,Lytham St Annes,G5vHZ_d2EjAA6,https://www.ticketmaster.co.uk/rebecca-ferguson-15-years-stripped-lytham-st-annes-02-06-2026/event/1F006433E7705147,FY8 5QQ,53.735487,-2.971624,07:32.3
01/07/2026,Lytham Festival 2026 - 5 Day Pass,,Lytham Green,Music,Lancashire,17u8vxG6u1Bb40o,https://www.ticketmaster.co.uk/lytham-festival-2026-5-day-pass-lancashire-01-07-2026/event/350062D2BA615911,FY8 5LB,53.7346927,-2.9595951,07:32.8
01/07/2026,Lytham Festival - Teddy Swims,17:00:00,Lytham Green,Music,Lancashire,1AdfZbSGkniQDnk,https://www.ticketmaster.co.uk/lytham-festival-teddy-swims-lancashire-01-07-2026/event/3500633AAC6BBA86,FY8 5LB,53.7346927,-2.9595951,07:32.8
